name,author,types,popularity,
恰似寒光遇骄阳,阅文漫画 x 火力熊猫,大女主,113.1亿,
霸道小叔，请轻,札雅工作室,总裁,19.6亿,
飞越青空,漫文社,职场,1.3亿,
将嫁,天闻角川 x 孟南珂 x D君,古风,2.4亿,
重回都市：最强,缘漫动漫-缘娘,重生,1.1亿,
北方列车X47,丛潇 x 潇潇,重生,3.8亿,
仙尊洛无极,大魔王漫画,修仙,13.7亿,
两名继子看我的,星空社,大女主,2亿,
重生异世一条狗,有欧气工厂,穿越,39.4亿,
最强战神奶爸,缘漫动漫-缘娘,复仇,9435万,
王妃好爱妆,星空社,大女主,20.4亿,
百层塔,鱼骨头漫画工作室,战斗,95亿,
永恒国度,阅文漫画 x 绘世TONY,穿越,2830万,
至尊瞳术师：绝,奇喵屋工作室-喵菌 x 顾珅之 x 一朵摇曳的小花,古风,68.2亿,
我是圣尊,创迹文化,古风,6435.4万,
我被困在同一天,iCiyuan动漫,穿越,6.4亿,
我的弟子都超神,口袋宇宙 x 时光鱼文化,战斗,14.9亿,
我这条咸鱼被出,星空社 x 野比小培 x 阿慢慢,职场,2亿,
所爱隔山海,漫动作,古风,2.4亿,
你马甲掉了，幽,鹿溪lucie x 云霜堂文化,古风,12.1亿,
妖开饭啦！,绘世TONY x 拖拖,美食,1.5亿,
太后裙下臣,拂晓联盟 x 之臻 x 小枣子,古风,14.1亿,
全网都是我和影,阅文漫画,职场,23亿,
超神机械师,阅文漫画,机甲,6.3亿,
暗恋,幕星社 x 吉川流,脑洞,2.1亿,
最强神王,缘漫动漫-缘娘,重生,12.7亿,
我能提取熟练度,噼咔噼 x 阅文漫画,古风,4689.4万,
狼君不可以,吃饱饭工厂 x B x 时梧,权谋,46.8亿,
系统逼我做反派,三页漫画,系统,13.6亿,
巧克力于犬是禁,林炭炭 x 假年糕,怪物,11.8亿,
狼元帅的双重宠,火星动漫 x 六花漫创,总裁,1.6亿,
鬼医凤九,缘漫动漫-缘娘,古风,64.4亿,
掌门不对劲,三界动画,穿越,3.9亿,
他说我是黑莲花,iCiyuan动漫,总裁,4.8亿,
我才不嫁反派皇,三福动漫,古风,10.1亿,
恶魔低语时,iCiyuan动漫,总裁,4632.7万,
我的师姐稳得一,比格熊,后宫,17.9亿,
乌鸦,怪化猫工作室,复仇,4.9亿,
狩受不亲,沉乡 x 西溪,娱乐圈,4.7亿,
我怀疑你暗恋我,司南 x 三笑 x 黑璟樱,职场,2973.1万,
野狮的驯服方式,狮心＆木白 x 浪浪 x 良之著,娱乐圈,12.3亿,
老公每天换人设,阅文漫画 x 青玉Gaffey,总裁,4494.4万,
心机万种又如何,有欧气工厂,大女主,3.2亿,
掌门低调点,阅文漫画 x 二胡藏剑,穿越,1250.3万,
我的属性都加了,三界动画,穿越,1281.9万,
霸道总裁轻点爱,热萌文化,重生,27.1亿,
快穿系统：反派,iCiyuan动漫,大女主,4.7亿,
明日之劫,阅文漫画,末日,1.3亿,
家有双生女友,天空树漫工厂,职场,25亿,
