1.1875, 0.72%, 1.3037, 指数型-股票, 高风险， 14.83亿元（2021-12-31）, 刘树荣, 2015-06-03, 易方达基金, , 中证银行指数  , 0.11%
1.2268, 0.77%, 1.3545, 指数型-股票, 高风险， 18.22亿元（2021-12-31）, 侯昊, 2015-05-20, 招商基金, , 中证银行指数  , 0.11%
1.1914, 0.74%, 1.1914, 指数型-股票, 高风险， 3.41亿元（2021-12-31）, 李俊, 2019-12-06, 华夏基金, , 中证银行指数  , 0.13%
0.8329, 3.88%, 0.8329, 指数型-股票, 高风险， 2.29亿元（2021-12-31）, 黄稚, 2021-08-26, 中信保诚基金, , 中证基建工程指数  , 0.16%
1.1816, 0.72%, 1.1816, 指数型-股票, 高风险， 5.80亿元（2021-12-31）, 刘树荣, 2020-08-07, 易方达基金, , 中证银行指数  , 0.11%
0.9874, 0.77%, 1.1414, 指数型-股票, 高风险， 2.86亿元（2021-12-31）, 苏卿云, 2015-06-09, 华安基金, , 中证银行指数  , 0.12%
1.0170, 0.69%, 1.1440, 指数型-股票, 高风险， 10.91亿元（2021-12-31）, 张羽翔, 2015-04-17, 鹏华基金, , 中证银行指数  , 0.11%
1.3113, 0.78%, 1.3113, 指数型-股票, 高风险， 25.67亿元（2021-12-31）, 陈瑶, 2015-07-08, 天弘基金, , 中证银行指数  , 0.10%
1.3473, 0.76%, 1.3473, 指数型-股票, 高风险， 7.26亿元（2021-12-31）, 孙伟, 2017-06-29, 南方基金, , 中证银行指数  , 0.09%
0.9930, 0.81%, 0.9930, 指数型-股票, 高风险， 0.43亿元（2021-12-31）, 张羽翔, 2021-04-14, 鹏华基金, , 中证银行指数  , 0.11%
1.2911, 0.77%, 1.2911, 指数型-股票, 高风险， 62.94亿元（2021-12-31）, 陈瑶, 2015-07-08, 天弘基金, , 中证银行指数  , 0.10%
1.0123, 1.28%, 1.0123, 指数型-股票, 高风险， 0.12亿元（2021-12-31）, 龚佳佳, 2021-09-08, 建信基金, , 沪深300红利指数  , --
1.3431, 0.77%, 1.3431, 指数型-股票, 高风险， 0.73亿元（2021-12-31）, 孙伟, 2021-06-11, 南方基金, , 中证银行指数  , 0.09%
