店名	星级	评论数	关键词	地址	人均消费
聚城老北京爆肚涮肉坊	4.0	0	世纪公园	浦东新区梅花路969号	101.0
川中故事火锅（东明店）	3.9	1270	世博园	浦东新区东明路2647号（近永泰路）	67.0
铜人李火锅（亿丰时代广场店）	3.4	82	世博园	浦东新区云台路800号亿丰时代广场三楼星巴克楼上320号（板泉路云台路交叉口）	85.0
古炉火锅·老成都（松东路店）	4.1	5699	松东路	松江区松东路140号	97.0
大渝火锅（七宝万科店）	3.3	133	七宝/国展中心	闵行区漕宝路3366号万科广场沿街一楼（七宝二中斜对面）	117.0
捞一锅羊蝎子火锅（我家•酸菜鱼）	5.0	1360	莲花路/南方商城	闵行区古方路76号南方休闲广场207-209（辣壹點美蛙鱼头楼下）	61.0
重庆崽儿美蛙火锅（车站南路店）	4.0	2	凉城/江湾	虹口区车站南路330号世纪联华一层西南门昊爵牛排后面（北京银行后面，篮球场，停车入口）	86.0
四川香天下火锅（江桥店）	4.1	40	虹桥火车站/江桥	嘉定区金运路355号18幢3楼	112.0
洪员外牛腩火锅（晶品店）	3.5	63	静安寺	静安区愚园路68号静安晶品中心4楼26室	122.0
川中故事火锅（周康路店）	4.1	2672	浦东新区	浦东新区周康路3-5-7号（近万达广场）	66.0
热气涮羊肉羊蝎子火锅	4.2	141	浦东机场/机场镇	浦东新区祝桥镇机场镇晨阳路164号	66.0
辣艾思川惠海鲜自助火锅（人民北路店）	4.3	2318	人民北路	松江区人民北路75号（近松石苑商务楼）	51.0
洞子张老匠火锅（共和新路店）	3.3	2954	市北工业园/汶水路	静安区共和新路3388号汇客美食广场二楼永鼎大厦2楼（近大润发）	97.0
老渝城正宗重庆老火锅（杨园店）	4.3	33	高东/杨园	浦东新区高东镇新园路东海岸商业广场168-170号	92.0
